Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,Speed,Draught,"Origin Port","Max Speed","Average Speed","Load Condition","Distance Travelled","Distance To Go","Calculated Eta","Previous To Origin Port","Idle Time While Underway","Voyage State","Capacity - Dwt",Mmsi,"Global Area","Local Area",Status,Eni,Course,"Navigational Status",Built,Length,Width,"Current Port Unlocode","Current Port Country",Callsign,"Wind Temp","Wind Angle","Wind Speed","Vessel Timezone","Previous To Origin Port Unlocode","Previous To Origin Port Country","Previous To Origin Port Atd","Origin Port Atd","Origin Port Country","Origin Port Unlocode","Destination Port Unlocode","Destination Port Country","Rate Of Turn",Heading,"Last Underway Timestamp"
"Marshall Is","NORDIC LIGHT",SINGAPORE,"2025-05-24 06:00:00",NAWVB>SGSIN,,9436446,Tanker,"2025-05-20 11:55:29",3.0218501,90.774864,12.3,17.0,ROTTERDAM,16.5,13.1,Laden,10958,946,"2025-05-23 11:49:00",SILLAMAE,0.5,"Normal Speed Transiting",158555,538003862,"SIND - South Indian Ocean","South Indian Ocean",ACTIVE,,51,"Underway using Engine",2010,274.0,48.0,,,V7TQ7,29,297,5,6.0,EESLM,EE,"2025-04-03 19:46:00","2025-04-11 14:43:00",NL,NLRTM,SGSIN,SG,,,"2025-05-20 11:55:00"
Malta,"GH KAHLO",SINGAPORE,"2025-05-29 04:00:00","SG SIN",,9617521,Cargo,"2025-05-21 01:09:42",-7.7315884,76.209137,10.6,18.3,ROTTERDAM,16.5,10.0,Laden,9845,2027,"2025-05-29 22:36:00",NARVIK,11.7,"Normal Speed Transiting",179816,229532000,"SIND - South Indian Ocean","South Indian Ocean",ACTIVE,,55,"Underway using Engine",2014,292.0,45.0,,,9HA3384,27,170,9,5.0,NONVK,NO,"2025-03-20 04:01:00","2025-04-01 17:22:00",NL,NLRTM,SGSIN,SG,0,52,"2025-05-21 01:10:00"
